customer_id,product_id,product_amount
0,3,168
0,4,127
0,10,123
0,1,114
0,5,104
0,8,103
0,9,97
0,6,85
0,2,72
0,0,47
1,7,135
1,1,108
1,8,103
1,4,96
1,0,76
1,9,75
1,2,69
1,5,68
1,3,60
1,10,55
2,7,153
2,9,144
2,4,120
2,5,106
2,2,89
2,8,86
2,10,86
2,3,84
2,1,76
2,0,71
3,4,157
3,7,113
3,10,108
3,9,90
3,6,87
3,1,63
3,3,63
3,2,57
3,5,49
3,0,41
4,10,113
4,0,109
4,5,85
4,9,72
4,8,70
4,3,64
4,2,57
4,4,57
4,1,51
4,7,44
5,4,137
5,5,121
5,8,108
5,3,96
5,2,91
5,7,90
5,9,82
5,6,76
5,0,45
5,1,42
6,3,137
6,5,119
6,10,118
6,9,114
6,4,107
6,6,93
6,0,86
6,1,86
6,8,84
6,7,69
7,4,181
7,8,148
7,2,106
7,7,102
7,1,101
7,9,101
7,6,97
7,0,83
7,3,74
7,10,58
8,2,182
8,9,137
8,1,130
8,5,119
8,0,78
8,4,63
8,8,61
8,10,58
8,7,43
8,3,42
9,4,137
9,2,116
9,5,116
9,6,87
9,10,85
9,3,75
9,1,64
9,8,53
9,9,45
9,0,40
10,7,185
10,0,109
10,3,106
10,1,100
10,10,99
10,8,96
10,4,80
10,2,69
10,9,65
10,5,62
